country,Ease_of_b,innovation,ISO3,REG_UN
ARE,78.07067714285714,38.714285714285715,ARE,Northern Africa and Western Asia
AUS,80.65620428571428,19.571428571428573,AUS,"South East Asia, East Asia, and Oceania"
BRA,56.65269428571428,66.14285714285714,BRA,Latin America and the Caribbean
CAN,79.63181142857142,15.285714285714286,CAN,Northern America
CHE,76.4201242857143,1.0,CHE,Europe
CHN,65.82125285714285,24.428571428571427,CHN,"South East Asia, East Asia, and Oceania"
COL,69.10502,64.71428571428571,COL,Latin America and the Caribbean
DEU,79.39720285714286,11.0,DEU,Europe
EGY,57.744324285714285,100.85714285714286,EGY,Northern Africa and Western Asia
ESP,75.45166714285713,27.571428571428573,ESP,Europe
FRA,75.17372285714285,18.285714285714285,FRA,Europe
GBR,83.22992857142857,3.4285714285714284,GBR,Europe
IDN,64.85480714285714,87.71428571428571,IDN,"South East Asia, East Asia, and Oceania"
IND,59.238212857142855,65.42857142857143,IND,Central and Southern Asia
IRL,79.80833,9.714285714285714,IRL,Europe
ITA,71.37462857142857,30.0,ITA,Europe
JPN,77.69117285714286,17.142857142857142,JPN,"South East Asia, East Asia, and Oceania"
KOR,83.43889285714285,13.285714285714286,KOR,"South East Asia, East Asia, and Oceania"
MEX,71.57265285714286,59.57142857142857,MEX,Latin America and the Caribbean
RUS,74.01691857142858,48.42857142857143,RUS,Europe
SAU,63.70337571428571,50.857142857142854,SAU,Northern Africa and Western Asia
SWE,81.76298857142856,2.4285714285714284,SWE,Europe
USA,83.35584857142858,4.714285714285714,USA,Northern America
