Origin_location,Final_location,Value
AT,BE,0
AT,CH,0
AT,DE,1
AT,DK,0
AT,ES,0
AT,FI,0
AT,FR,0
AT,GB,1
AT,IE,0
AT,IT,0
AT,NL,0
AT,NO,0
AT,Other,1
AT,PL,0
AT,PT,0
AT,RU,0
AT,SE,0
AT,US,7
BE,AT,0.0
BE,CH,0.0
BE,DE,0.0
BE,DK,0.0
BE,ES,0.0
BE,FI,0.0
BE,FR,0.0
BE,GB,1.0
BE,IE,0.0
BE,IT,0.0
BE,NL,1.0
BE,NO,0.0
BE,Other,2.0
BE,PL,0.0
BE,PT,0.0
BE,RU,0.0
BE,SE,0.0
BE,US,13.0
CH,AT,0
CH,BE,0
CH,DE,1
CH,DK,1
CH,ES,0
CH,FI,0
CH,FR,0
CH,GB,3
CH,IE,0
CH,IT,0
CH,NL,0
CH,NO,0
CH,Other,2
CH,PL,0
CH,PT,0
CH,RU,0
CH,SE,0
CH,US,11
DE,AT,0.0
DE,BE,2.0
DE,CH,1.0
DE,DK,0.0
DE,ES,0.0
DE,FI,0.0
DE,FR,0.0
DE,GB,1.0
DE,IE,1.0
DE,IT,0.0
DE,NL,0.0
DE,NO,0.0
DE,Other,4.0
DE,PL,0.0
DE,PT,0.0
DE,RU,0.0
DE,SE,1.0
DE,US,50.0
DK,AT,0.0
DK,BE,0.0
DK,CH,0.0
DK,DE,0.0
DK,ES,0.0
DK,FI,0.0
DK,FR,0.0
DK,GB,2.0
DK,IE,0.0
DK,IT,0.0
DK,NL,0.0
DK,NO,0.0
DK,Other,2.0
DK,PL,0.0
DK,PT,0.0
DK,RU,0.0
DK,SE,0.0
DK,US,24.0
ES,AT,0
ES,BE,0
ES,CH,0
ES,DE,1
ES,DK,0
ES,FI,0
ES,FR,0
ES,GB,4
ES,IE,0
ES,IT,0
ES,NL,1
ES,NO,0
ES,Other,0
ES,PL,0
ES,PT,0
ES,RU,0
ES,SE,0
ES,US,24
FI,AT,0.0
FI,BE,0.0
FI,CH,1.0
FI,DE,1.0
FI,DK,0.0
FI,ES,0.0
FI,FR,0.0
FI,GB,4.0
FI,IE,0.0
FI,IT,0.0
FI,NL,0.0
FI,NO,0.0
FI,Other,4.0
FI,PL,0.0
FI,PT,0.0
FI,RU,0.0
FI,SE,1.0
FI,US,22.0
FR,AT,0
FR,BE,0
FR,CH,1
FR,DE,2
FR,DK,0
FR,ES,1
FR,FI,0
FR,GB,4
FR,IE,1
FR,IT,0
FR,NL,0
FR,NO,0
FR,Other,3
FR,PL,0
FR,PT,0
FR,RU,0
FR,SE,0
FR,US,95
GB,AT,0.0
GB,BE,1.0
GB,CH,2.0
GB,DE,0.0
GB,DK,0.0
GB,ES,1.0
GB,FI,0.0
GB,FR,0.0
GB,IE,0.0
GB,IT,0.0
GB,NL,1.0
GB,NO,1.0
GB,Other,8.0
GB,PL,0.0
GB,PT,1.0
GB,RU,0.0
GB,SE,0.0
GB,US,174.0
IE,AT,0.0
IE,BE,0.0
IE,CH,0.0
IE,DE,0.0
IE,DK,0.0
IE,ES,0.0
IE,FI,0.0
IE,FR,0.0
IE,GB,2.0
IE,IT,0.0
IE,NL,0.0
IE,NO,0.0
IE,Other,0.0
IE,PL,0.0
IE,PT,0.0
IE,RU,0.0
IE,SE,0.0
IE,US,31.0
IT,AT,0.0
IT,BE,0.0
IT,CH,1.0
IT,DE,0.0
IT,DK,0.0
IT,ES,0.0
IT,FI,0.0
IT,FR,0.0
IT,GB,2.0
IT,IE,0.0
IT,NL,0.0
IT,NO,0.0
IT,Other,3.0
IT,PL,0.0
IT,PT,0.0
IT,RU,0.0
IT,SE,0.0
IT,US,10.0
NL,AT,0.0
NL,BE,1.0
NL,CH,0.0
NL,DE,0.0
NL,DK,0.0
NL,ES,0.0
NL,FI,0.0
NL,FR,0.0
NL,GB,0.0
NL,IE,0.0
NL,IT,0.0
NL,NO,0.0
NL,Other,2.0
NL,PL,0.0
NL,PT,0.0
NL,RU,0.0
NL,SE,0.0
NL,US,20.0
NO,AT,0
NO,BE,0
NO,CH,0
NO,DE,1
NO,DK,0
NO,ES,0
NO,FI,1
NO,FR,0
NO,GB,0
NO,IE,0
NO,IT,0
NO,NL,1
NO,Other,0
NO,PL,0
NO,PT,0
NO,RU,0
NO,SE,1
NO,US,11
PL,AT,0.0
PL,BE,0.0
PL,CH,0.0
PL,DE,0.0
PL,DK,0.0
PL,ES,0.0
PL,FI,0.0
PL,FR,0.0
PL,GB,0.0
PL,IE,0.0
PL,IT,0.0
PL,NL,0.0
PL,NO,0.0
PL,Other,0.0
PL,PT,0.0
PL,RU,0.0
PL,SE,0.0
PL,US,6.0
PT,AT,0.0
PT,BE,0.0
PT,CH,0.0
PT,DE,0.0
PT,DK,0.0
PT,ES,0.0
PT,FI,0.0
PT,FR,0.0
PT,GB,1.0
PT,IE,0.0
PT,IT,0.0
PT,NL,0.0
PT,NO,0.0
PT,Other,0.0
PT,PL,0.0
PT,RU,0.0
PT,SE,0.0
PT,US,8.0
RU,AT,0
RU,BE,0
RU,CH,0
RU,DE,0
RU,DK,0
RU,ES,0
RU,FI,0
RU,FR,0
RU,GB,1
RU,IE,0
RU,IT,0
RU,NL,1
RU,NO,0
RU,Other,1
RU,PL,0
RU,PT,0
RU,SE,0
RU,US,27
SE,AT,0.0
SE,BE,0.0
SE,CH,1.0
SE,DE,0.0
SE,DK,0.0
SE,ES,0.0
SE,FI,1.0
SE,FR,0.0
SE,GB,5.0
SE,IE,0.0
SE,IT,0.0
SE,NL,0.0
SE,NO,2.0
SE,Other,0.0
SE,PL,0.0
SE,PT,0.0
SE,RU,0.0
SE,US,28.0
